uses,floor,name,ceiling,width,height,hip,points,ups
1,1,11,2.4,1.52,0.91,0,4,'002640300012460610102631190112460470102440200112460430112450050112451070112450330202440030212450140'
1,1,70,2.35,0.91,1.365,0,4,'002460690102450530112450480112450490112450500112450510102450530112450480112450490112450510202460270'
1,1,71,2.25,0.6,1.365,0,4,'002460690102450530112450480112450490112450500112450510102450530112450480112450490112450510202460270'
1,1,71,2.25,0.31,1.365,0,4,'002460690102450530112450480112450490112450500112450510102450530112450480112450490112450510202460270'
1,1,23,2.5,3.64,2.73,0,4,'002460760102450530112450480112450490112450500112450510102450530112450480112450490112450510202630380212460270'
1,1,30,2.55,3.64,1.82,0,4,'002640300012460610202630010'
1,1,33,2.5,3.64,3.64,0,4,'002460760102450530112450480112450490112450500112450510102450530112450480112450490112450510202630380212460270'
1,1,3,2.35,1.82,0.91,0,4,'002460720102450570112450480112450490112450500112450510102450570112450480112450490112450510202460270'
1,1,2,2.4,1.82,0.91,0,4,'002460600'
1,1,29,2.4,2.73,1.82,0,4,'202440030212450140002640200102440200112460430112450050112451070112450330102440240112460430112450050112451070112450320'
1,1,26,2.6,1.82,0.91,0,4,'002631190012460470102450310112460180112450050112451070202450090'
1,1,48,2.6,1.82,0.91,0,4,'002460690102450530112450480112450490112450500112450510102450530112450480112450490112450510202460270'
1,1,32,2.6,3.64,3.64,0,4,'002460690102450530112450480112450490112450500112450510102450530112450480112450490112450510202630380212460270'
1,1,72,1.8,3.64,0.455,0,4,'002460690102450530112450480112450490112450500112450510102450530112450480112450490112450510202630380212460270'
1,1,12,2.2,1.82,0.91,0,4,'002640070102450570112450480112450490112450500112450510102450530112450480112450490112450500112450510102460510'
1,1,8,2.95,2.73,0.91,0,4,'002640070102450570112450480112450490112450500112450510202450090202450230212460200212450050212451070'
1,1,48,2.5,0.91,1.82,0,4,'002460710102450530202460300'
1,1,32,2.9,2.73,3.64,0,4,'002460710102450530202630380'
1,1,33,2.3,2.73,2.73,0,4,'002640300102631190202630030'
1,1,32,2.9,3.64,3.64,0,4,'002630010102450530202630010'
1,1,32,2.9,3.64,3.64,0,4,'002460710102450530202630380'
1,1,49,2.4,7.28,1.01,0,4,'002460710102450530202460340'
1,1,39,2.3,1.82,1.82,0,4,'002460650102460510202630160'
1,1,29,2.2,1.82,1.82,0,4,'002640350102450400102440170202440140'
1,1,31,2.3,0.91,1.82,0,4,'002460710102450300202460190'
1,1,27,2.3,0.91,1.82,0,4,'002460710102450530202440140'
1,1,7,2.4,5.46,0.91,0,4,'002460710102450530202460340'
