symbol,width,height,unit,amount,ups
22,0,0,30,1,'0271128002720200'
22,0,0,30,1,'0272020002711350'
23,0,0,30,1,'0272020002711280'
24,0,0,30,1,'0271173002720200'
24,0,0,30,1,'0271173002720230'
24,0,0,30,1,'0271174002720230'
24,0,0,30,1,'0271172002720200'
24,0,0,30,1,'0271175002720200'
24,0,0,30,1,'0271178002720200'
25,0,0,30,1,'0271160002720200'
25,0,0,30,1,'0271166002720200'
16,0,0,30,1,'02710140'
14,0,0,30,1,'02710780'
13,0,0,30,1,'02710520'
25,0,0,30,1,'0271161002720200'
21,0,0,30,1,'0271140002720200'
16,0,0,30,1,'02710160'
18,0,0,85,1,'02710500'
17,0,0,85,1,'02710450'
288,0,0,10,0.8,'02760220'
288,0,0,10,3.4,'02760220'
288,0,0,10,0.6,'02760220'
288,0,0,10,7.6,'02760220'
288,0,0,90,1,'02750310'
288,0,0,10,7.1,'02760220'
288,0,0,10,8.2,'02760220'
288,0,0,10,7.8,'02760220'
290,0,0,90,1,'02740110'
290,0,0,90,1,'02740090'
290,0,0,90,1,'02740120'
291,0,0,90,1,'02740020'
295,0,0,30,1,'02761410'
292,0,0,30,1,'03880010'
5,0,0,90,1,'02810100'
9,0,0,30,1,'02822280'
9,0,0,30,1,'02822300'
9,0,0,30,1,'02822290'
10,0,0,30,1,'02821240'
7,0,0,30,1,'02821410'
5,0,0,10,0.770,'02820120'
5,0,0,10,0.950,'02820120'
5,0,0,10,7.3,'02820120'
5,0,0,10,7.970,'02820120'
5,0,0,10,0.660,'02820120'
5,0,0,10,5.86,'02820120'
5,0,0,10,4.270,'02820120'
5,0,0,10,0.540,'02820130'
5,0,0,10,1.77,'02820130'
5,0,0,10,2.370,'02820130'
5,0,0,10,3.500,'02820130'
5,0,0,10,3.170,'02820130'
5,0,0,10,1.98,'02820130'
5,0,0,10,8.840,'02820120'
191,0.7,1.05,85,1,'02830080'
189,0,0,30,1,'0283026102830290'
180,0,0,30,1,'02830200'
166,0,0,10,1.8,'02770100'
166,0,0,10,0.65,'02770100'
172,0,0,30,1,'02770010'
167,0,0,10,0.45,'02770100'
167,0,0,10,0.650,'02770100'
166,0,0,10,1.15,'02770100'
167,0,0,10,1.10,'02770100'
166,0,0,10,2.7,'02770100'
167,0,0,10,0.6,'02770100'
202,0.6,0.7,30,1,'02780090'
207,0.35,1.5,30,1,'02780150'
204,0.6,1.5,30,1,'02780040'
97,0,0,60,1,'02850040'
303,1.82,6.37,15,11.593,'02880120'
25,0,0,30,1,'0271162002720200'
23,0,0,30,1,'0271128002720200'
23,0,0,30,1,'0271131002720230'
22,0,0,30,1,'0271128002720200'
22,0,0,30,1,'0272020002711350'
23,0,0,30,1,'0272020002711280'
24,0,0,30,1,'0271173002720200'
24,0,0,30,1,'0271173002720230'
24,0,0,30,1,'0271174002720230'
24,0,0,30,1,'0271172002720200'
24,0,0,30,1,'0271175002720200'
24,0,0,30,1,'0271178002720200'
25,0,0,30,1,'0271160002720200'
25,0,0,30,1,'0271166002720200'
16,0,0,30,1,'02710140'
14,0,0,30,1,'02710780'
13,0,0,30,1,'02710520'
25,0,0,30,1,'0271161002720200'
21,0,0,30,1,'0271140002720200'
16,0,0,30,1,'02710160'
18,0,0,85,1,'02710500'
17,0,0,85,1,'02710450'
288,0,0,10,0.8,'02760220'
288,0,0,10,3.4,'02760220'
288,0,0,10,0.6,'02760220'
288,0,0,10,7.6,'02760220'
288,0,0,90,1,'02750310'
288,0,0,10,7.1,'02760220'
288,0,0,10,8.2,'02760220'
288,0,0,10,7.8,'02760220'
290,0,0,90,1,'02740110'
290,0,0,90,1,'02740090'
290,0,0,90,1,'02740120'
291,0,0,90,1,'02740020'
295,0,0,30,1,'02761410'
292,0,0,30,1,'03880010'
5,0,0,10,7.970,'02820120'
5,0,0,90,1,'02810100'
5,0,0,90,2,'02810100'
9,0,0,30,1,'02822280'
9,0,0,30,1,'02822300'
9,0,0,30,1,'02822290'
7,0,0,30,1,'02821410'
5,0,0,10,0.770,'02820120'
5,0,0,10,0.950,'02820120'
5,0,0,10,7.3,'02820120'
5,0,0,10,0.660,'02820120'
5,0,0,10,5.86,'02820120'
5,0,0,10,5.000,'02820120'
5,0,0,10,0.540,'02820130'
5,0,0,10,1.77,'02820130'
5,0,0,10,2.370,'02820130'
5,0,0,10,3.500,'02820130'
5,0,0,10,3.170,'02820130'
5,0,0,10,1.98,'02820130'
5,0,0,10,8.840,'02820120'
10,0,0,30,1,'02821240'
191,0.7,1.05,85,1,'02830080'
189,0,0,30,1,'0283026102830290'
180,0,0,30,1,'02830200'
189,0,0,30,1,'02830261'
166,0,0,10,1.8,'02770100'
166,0,0,10,0.65,'02770100'
172,0,0,30,1,'02770010'
167,0,0,10,0.45,'02770100'
167,0,0,10,0.650,'02770100'
166,0,0,10,1.15,'02770100'
167,0,0,10,1.10,'02770100'
166,0,0,10,2.7,'02770100'
167,0,0,10,0.6,'02770100'
202,0.6,0.7,30,1,'02780090'
207,0.35,1.5,30,1,'02780150'
204,0.6,1.5,30,1,'02780040'
97,0,0,60,1,'02850040'
303,1.82,6.37,15,11.593,'02880120'
23,0,0,30,1,'0271128002720200'
22,0,0,30,1,'0271128002720200'
21,0,0,30,1,'0271139002720200'
24,0,0,30,1,'0271178002720200'
24,0,0,30,1,'0271176002720200'
14,0,0,30,1,'02710780'
13,0,0,30,1,'02710521'
19,0,0,30,1,'02710390'
25,0,0,30,1,'0271166002720200'
17,0,0,85,1,'02710370'
288,0,0,10,2.91,'02760290'
288,0,0,10,9.050,'02760290'
288,0,0,90,1,'02750320'
291,0,0,90,1,'02740060'
302,0,0,85,1,'02740770'
291,0,0,90,1,'02740020'
288,0,0,10,0.65,'02760290'
295,0,0,30,1,'02761410'
193,0,0,85,1,'02740850'
5,0,0,90,1,'02810100'
5,0,0,10,0.2,'02820860'
5,0,0,10,4,'02820860'
5,0,0,10,0.55,'02820830'
5,0,0,10,4.450,'02820830'
5,0,0,10,1.20,'02820860'
176,0,0,30,1,'02830510'
181,0,0,30,1,'02830150'
190,0,0,30,1,'02830360'
184,0,0,30,1,'02830380'
191,1.2,0.7,85,1,'02830090'
166,0,0,10,0.6,'02770100'
166,0,0,10,0.8,'02770100'
166,0,0,10,10.60,'02770100'
166,0,0,10,1,'02770100'
166,0,0,10,0.500,'02770100'
166,0,0,10,1.600,'02770100'
165,0,0,30,1,'02770020'
202,1.2,0.6,30,1,'02780020'
202,0.6,0.6,30,1,'02780090'
303,0.6,1.8,15,1.08,'02170010'
303,0.6,1.4,15,0.84,'02170040'
303,5.93,0.6,15,3.558,'02170010'
303,0.8,5.73,15,4.584,'02170010'
303,0.433,0.9,30,1,'05907910'
303,0.6,2.27,15,1.362,'02170010'
23,0,0,30,1,'0271128002720200'
22,0,0,30,1,'0271128002720200'
21,0,0,30,1,'0271139002720200'
24,0,0,30,1,'0271178002720200'
24,0,0,30,1,'0271176002720200'
14,0,0,30,1,'02710780'
13,0,0,30,1,'02710521'
19,0,0,30,1,'02710390'
25,0,0,30,1,'0271166002720200'
17,0,0,85,1,'02710370'
288,0,0,10,2.91,'02760290'
288,0,0,10,9.050,'02760290'
288,0,0,90,1,'02750320'
291,0,0,90,1,'02740060'
302,0,0,85,1,'02740770'
291,0,0,90,1,'02740020'
288,0,0,10,0.65,'02760290'
295,0,0,30,1,'02761410'
193,0,0,85,1,'02740850'
5,0,0,90,1,'02810100'
5,0,0,10,0.2,'02820860'
5,0,0,10,4,'02820860'
5,0,0,10,0.55,'02820830'
5,0,0,10,4.450,'02820830'
5,0,0,10,1.20,'02820860'
176,0,0,30,1,'02830510'
181,0,0,30,1,'02830150'
190,0,0,30,1,'02830360'
184,0,0,30,1,'02830380'
191,1.2,0.7,85,1,'02830090'
166,0,0,10,0.6,'02770100'
166,0,0,10,0.8,'02770100'
166,0,0,10,10.60,'02770100'
166,0,0,10,1,'02770100'
166,0,0,10,0.500,'02770100'
166,0,0,10,1.600,'02770100'
165,0,0,30,1,'02770020'
202,1.2,0.6,30,1,'02780020'
202,0.6,0.6,30,1,'02780090'
303,0.6,1.8,15,1.08,'02170010'
303,0.6,1.4,15,0.84,'02170040'
303,5.93,0.6,15,3.558,'02170010'
303,0.8,5.73,15,4.584,'02170010'
303,0.433,0.9,30,1,'05907910'
303,0.6,2.27,15,1.362,'02170010'
23,0,0,30,1,'0271128002720200'
22,0,0,30,1,'0271128002720200'
21,0,0,30,1,'0271139002720200'
24,0,0,30,1,'0271178002720200'
24,0,0,30,1,'0271176002720200'
14,0,0,30,1,'02710780'
13,0,0,30,1,'02710521'
19,0,0,30,1,'02710390'
25,0,0,30,1,'0271166002720200'
17,0,0,85,1,'02710370'
288,0,0,10,2.91,'02760290'
288,0,0,10,9.050,'02760290'
288,0,0,90,1,'02750320'
291,0,0,90,1,'02740060'
302,0,0,85,1,'02740770'
291,0,0,90,1,'02740020'
288,0,0,10,0.65,'02760290'
295,0,0,30,1,'02761410'
193,0,0,85,1,'02740850'
5,0,0,90,1,'02810100'
5,0,0,10,0.2,'02820860'
5,0,0,10,4,'02820860'
5,0,0,10,0.55,'02820830'
5,0,0,10,4.450,'02820830'
5,0,0,10,1.20,'02820860'
176,0,0,30,1,'02830510'
181,0,0,30,1,'02830150'
190,0,0,30,1,'02830360'
184,0,0,30,1,'02830380'
191,1.2,0.7,85,1,'02830090'
166,0,0,10,0.6,'02770100'
166,0,0,10,0.8,'02770100'
166,0,0,10,10.60,'02770100'
166,0,0,10,1,'02770100'
166,0,0,10,0.500,'02770100'
166,0,0,10,1.600,'02770100'
165,0,0,30,1,'02770020'
202,1.2,0.6,30,1,'02780020'
202,0.6,0.6,30,1,'02780090'
303,0.6,1.8,15,1.08,'02170010'
303,0.6,1.4,15,0.84,'02170040'
303,5.93,0.6,15,3.558,'02170010'
303,0.8,5.73,15,4.584,'02170010'
303,0.433,0.9,30,1,'05907910'
303,0.6,2.27,15,1.362,'02170010'
22,0,0,30,1,'0271128002720200'
23,0,0,30,1,'0271128002720200'
24,0,0,30,1,'0271176002720200'
24,0,0,30,1,'0271173002720200'
24,0,0,30,1,'0271178002720200'
25,0,0,30,1,'0271160002720200'
25,0,0,30,1,'0271161002720200'
16,0,0,30,1,'02710140'
24,0,0,30,1,'0271172002720200'
18,0,0,85,1,'02710500'
13,0,0,30,1,'02710520'
14,0,0,30,1,'02710780'
16,0,0,30,1,'02710150'
16,0,0,30,1,'02710160'
16,0,0,30,1,'02710180'
288,0,0,90,1,'02750310'
288,0,0,90,0.119,'02750310'
288,0,0,90,0.805,'02750310'
288,0,0,10,18.00,'02760220'
288,0,0,10,8.800,'02760220'
288,0,0,10,7.9,'02760220'
290,0,0,90,1,'02740090'
290,0,0,90,1,'02740100'
291,0,0,90,1,'02740040'
291,0,0,90,1,'02740010'
295,0,0,30,1,'02761410'
288,0,0,10,3.100,'02760220'
288,0,0,10,1.000,'02760220'
288,0,0,10,2.8,'02760220'
292,0,0,85,1,'02740890'
291,0,0,90,1,'02740060'
302,0,0,85,1,'02740770'
292,0,0,85,1,'02761500'
5,0,0,10,0.700,'02820130'
5,0,0,10,17.500,'02820130'
5,0,0,10,4.40,'02820120'
5,0,0,10,7.2,'02820120'
5,0,0,10,6,'02820120'
5,0,0,10,2.40,'02820130'
5,0,0,10,1.000,'02820130'
7,0,0,30,1,'02821410'
10,0,0,30,1,'02821240'
5,0,0,90,1,'02810100'
184,0,0,30,1,'02830311'
181,0,0,30,1,'02830170'
180,0,0,30,1,'02830200'
190,0,0,30,1,'0283024102830300'
179,1.4,0.98,85,1,'02830600'
167,0,0,10,1,'02770100'
166,0,0,10,0.30,'02770100'
166,0,0,10,3.7,'02770100'
166,0,0,10,4.6,'02770100'
167,0,0,10,2.80,'02770100'
172,0,0,30,1,'02770010'
166,0,0,10,0.700,'02770100'
166,0,0,10,4.300,'02770100'
199,0.56,0.6,30,1,'02780050'
204,0.55,1.2,30,1,'02780020'
207,0.37,1.2,30,1,'02780130'
208,0,0,30,1,'02780220'
204,1.5,0.55,30,1,'02780030'
207,1.8,0.37,30,1,'02780150'
207,0.8,0.45,30,1,'02780180'
97,0,0,60,1,'02850040'
95,0,0,60,1,'02850420'
97,0,0,60,1,'02850010'
96,0,0,10,0.500,'02850480'
96,0,0,10,3.400,'02850480'
303,2.460,1.2,15,2.952,'02170020'
303,0.270,4.23,15,1.142,'02170020'
303,1.310,8.540,15,11.187,'02170020'
303,2.600,4.1,15,10.660,'05301410'
303,0.23,8.540,15,0.982,'02170020'
23,0,0,30,1,'0271128012720200'
24,0,0,30,1,'0271173012720200'
17,0,0,85,1,'02710450'
22,0,0,30,1,'0271128012720200'
18,0,0,85,1,'02710440'
97,0,0,60,1,'02850010'
22,0,0,30,1,'0271128002720200'
23,0,0,30,1,'0271128002720200'
24,0,0,30,1,'0271176002720200'
24,0,0,30,1,'0271173002720200'
24,0,0,30,1,'0271178002720200'
25,0,0,30,1,'0271160002720200'
25,0,0,30,1,'0271161002720200'
16,0,0,30,1,'02710140'
24,0,0,30,1,'0271172002720200'
18,0,0,85,1,'02710500'
13,0,0,30,1,'02710520'
14,0,0,30,1,'02710780'
16,0,0,30,1,'02710150'
16,0,0,30,1,'02710160'
16,0,0,30,1,'02710180'
288,0,0,90,1,'02750310'
288,0,0,90,0.119,'02750310'
288,0,0,90,0.805,'02750310'
288,0,0,10,18.00,'02760220'
288,0,0,10,8.800,'02760220'
288,0,0,10,7.9,'02760220'
290,0,0,90,1,'02740090'
290,0,0,90,1,'02740100'
291,0,0,90,1,'02740040'
291,0,0,90,1,'02740010'
295,0,0,30,1,'02761410'
288,0,0,10,3.100,'02760220'
288,0,0,10,1,'02760220'
288,0,0,10,2.8,'02760220'
292,0,0,85,1,'02740890'
291,0,0,90,1,'02740060'
292,0,0,85,1,'02761500'
302,0,0,85,1,'02740770'
5,0,0,10,0.700,'02820130'
5,0,0,10,4.40,'02820120'
5,0,0,10,7.2,'02820120'
5,0,0,10,6,'02820120'
5,0,0,10,2.40,'02820130'
5,0,0,10,1,'02820130'
7,0,0,30,1,'02821410'
10,0,0,30,1,'02821240'
5,0,0,90,1,'02810100'
5,0,0,90,3,'02810100'
5,0,0,10,18,'02820130'
184,0,0,30,1,'02830311'
181,0,0,30,1,'02830170'
180,0,0,30,1,'02830200'
190,0,0,30,1,'0283024102830300'
179,1.4,0.98,85,1,'02830600'
167,0,0,10,1,'02770100'
166,0,0,10,0.30,'02770100'
166,0,0,10,3.7,'02770100'
166,0,0,10,4.6,'02770100'
167,0,0,10,2.80,'02770100'
172,0,0,30,1,'02770010'
166,0,0,10,0.700,'02770100'
166,0,0,10,4.300,'02770100'
199,0.56,0.6,30,1,'02780050'
204,0.55,1.2,30,1,'02780020'
207,0.37,1.2,30,1,'02780130'
208,0,0,30,1,'02780220'
204,1.5,0.55,30,1,'02780030'
207,1.8,0.37,30,1,'02780150'
207,0.8,0.45,30,1,'02780180'
97,0,0,60,1,'02850040'
95,0,0,60,1,'02850420'
97,0,0,60,1,'02850010'
96,0,0,10,0.500,'02850480'
96,0,0,10,3.400,'02850480'
303,2.460,1.2,15,2.952,'02170020'
303,0.270,4.23,15,1.142,'02170020'
303,1.310,8.540,15,11.187,'02170020'
303,2.600,4.1,15,10.660,'05301410'
303,0.23,8.540,15,0.982,'02170020'
22,0,0,30,1,'0271128002720200'
23,0,0,30,1,'0271128002720200'
24,0,0,30,1,'0271176002720200'
24,0,0,30,1,'0271173002720200'
24,0,0,30,1,'0271178002720200'
25,0,0,30,1,'0271160002720200'
25,0,0,30,1,'0271161002720200'
16,0,0,30,1,'02710140'
24,0,0,30,1,'0271172002720200'
18,0,0,85,1,'02710500'
13,0,0,30,1,'02710520'
14,0,0,30,1,'02710780'
16,0,0,30,1,'02710150'
16,0,0,30,1,'02710160'
16,0,0,30,1,'02710180'
288,0,0,90,1,'02750310'
288,0,0,90,0.119,'02750310'
288,0,0,90,0.805,'02750310'
288,0,0,10,18.00,'02760220'
288,0,0,10,8.800,'02760220'
288,0,0,10,7.9,'02760220'
290,0,0,90,1,'02740090'
290,0,0,90,1,'02740100'
291,0,0,90,1,'02740040'
291,0,0,90,1,'02740010'
295,0,0,30,1,'02761410'
288,0,0,10,3.100,'02760220'
288,0,0,10,1,'02760220'
288,0,0,10,2.8,'02760220'
292,0,0,85,1,'02740890'
291,0,0,90,1,'02740060'
292,0,0,85,1,'02761500'
302,0,0,85,1,'02740770'
5,0,0,10,0.700,'02820130'
5,0,0,10,4.40,'02820120'
5,0,0,10,7.2,'02820120'
5,0,0,10,6,'02820120'
5,0,0,10,2.40,'02820130'
5,0,0,10,1,'02820130'
7,0,0,30,1,'02821410'
10,0,0,30,1,'02821240'
5,0,0,90,1,'02810100'
5,0,0,90,3,'02810100'
5,0,0,10,18,'02820130'
184,0,0,30,1,'02830311'
181,0,0,30,1,'02830170'
180,0,0,30,1,'02830200'
190,0,0,30,1,'0283024102830300'
179,1.4,0.98,85,1,'02830600'
167,0,0,10,1,'02770100'
166,0,0,10,0.30,'02770100'
166,0,0,10,3.7,'02770100'
166,0,0,10,4.6,'02770100'
167,0,0,10,2.80,'02770100'
172,0,0,30,1,'02770010'
166,0,0,10,0.700,'02770100'
166,0,0,10,4.300,'02770100'
199,0.56,0.6,30,1,'02780050'
204,0.55,1.2,30,1,'02780020'
207,0.37,1.2,30,1,'02780130'
208,0,0,30,1,'02780220'
204,1.5,0.55,30,1,'02780030'
207,1.8,0.37,30,1,'02780150'
207,0.8,0.45,30,1,'02780180'
97,0,0,60,1,'02850040'
95,0,0,60,1,'02850420'
97,0,0,60,1,'02850010'
96,0,0,10,0.500,'02850480'
96,0,0,10,3.400,'02850480'
303,2.460,1.2,15,2.952,'02170020'
303,0.270,4.23,15,1.142,'02170020'
303,1.310,8.540,15,11.187,'02170020'
303,2.600,4.1,15,10.660,'05301410'
303,0.23,8.540,15,0.982,'02170020'
21,0,0,30,1,'0271140002720200'
22,0,0,30,1,'0272020002711280'
23,0,0,30,1,'0271128002720200'
23,0,0,30,1,'0272020002711280'
24,0,0,30,1,'0271172002720200'
24,0,0,30,1,'0271173002720200'
25,0,0,30,1,'0271160002720200'
25,0,0,30,1,'0271161002720200'
25,0,0,30,1,'0272020002711620'
16,0,0,30,1,'02710160'
16,0,0,30,1,'02710150'
16,0,0,30,1,'02710180'
14,0,0,30,1,'02710780'
17,0,0,85,1,'02710420'
18,0,0,85,1,'02710500'
24,0,0,30,1,'0271178002720200'
15,0,0,100,1,'02710550'
25,0,0,30,1,'0272020002711610'
288,0,0,90,1,'02750310'
302,0,0,85,1,'02740770'
291,0,0,90,1,'02740060'
291,0,0,90,1,'02740040'
288,0,0,10,3.300,'02760220'
288,0,0,10,1.8,'02760220'
288,0,0,10,0.60,'02760220'
288,0,0,10,0.5,'02760220'
288,0,0,10,0.600,'02760220'
288,0,0,10,8.80,'02760220'
288,0,0,10,7.200,'02760220'
288,0,0,10,4.5,'02760220'
294,0,0,30,1,'02740160'
297,0,0,90,1,'02740080'
5,0,0,90,1,'02810100'
5,0,0,10,19.730,'02800020'
5,0,0,10,0.100,'02820130'
5,0,0,10,0.180,'02820130'
5,0,0,10,2.980,'02820130'
10,0,0,30,1,'02821230'
9,0,0,30,1,'02821410'
5,0,0,10,9.080,'02820130'
5,0,0,10,0.370,'02820130'
5,0,0,10,0.780,'02820090'
5,0,0,10,3.88,'02820090'
5,0,0,10,1.55,'02800020'
5,0,0,10,0.2,'02800020'
5,0,0,10,2.750,'02800020'
179,2.151,1.149,85,1,'02830570'
181,0,0,30,1,'02830170'
191,0.75,1,85,1,'02830020'
189,0,0,30,1,'0283029002830241'
166,0,0,10,1.3,'02770100'
166,0,0,10,1.1,'02770100'
166,0,0,10,3.2,'02770100'
166,0,0,10,0.2,'02770100'
165,0,0,30,1,'02770020'
204,1.5,0.55,30,1,'02780030'
199,0.6,0.55,30,1,'02780050'
202,0.7,0.55,30,1,'02780090'
207,2.05,0.23,30,1,'02780150'
208,0,0,30,1,'02780260'
96,0,0,10,3.32,'02850490'
97,0,0,60,1,'02850030'
97,0,0,60,1,'02850010'
95,0,0,60,1,'02850440'
96,0,0,10,0.31,'02850480'
96,0,0,10,1.330,'02850480'
96,0,0,10,4.290,'02850490'
96,0,0,10,3.060,'02850490'
96,0,0,10,2,'02851110'
96,0,0,10,2.1,'02851110'
96,0,0,10,0.5,'02851110'
96,0,0,10,0.700,'02850490'
303,3.3,0.340,15,1.155,'02170020'
303,1.7,0.85,15,1.445,'02170020'
303,1.6,3.8,15,6.08,'05301410'
303,0.45,7.84,15,3.528,'02170020'
23,0,0,30,1,'0271134002720230'
22,0,0,30,1,'0271134002720230'
23,0,0,30,1,'0271134002720230'
24,0,0,30,1,'0271175002720230'
303,0.732,0.25,15,0.183,'02170060'
303,0.617,0.195,15,3.838,'02170060'
24,0,0,30,1,'0271173002720200'
25,0,0,30,1,'0271160002720200'
25,0,0,30,1,'0271161002720200'
23,0,0,30,1,'0271128002720200'
22,0,0,30,1,'0271128002720200'
22,0,0,30,1,'0271131002720220'
23,0,0,30,1,'0271131002720220'
21,0,0,30,1,'0271152002720200'
21,0,0,30,1,'0271141002720220'
25,0,0,30,1,'0271160002720220'
25,0,0,30,1,'02720220'
24,0,0,30,1,'0271172002720200'
24,0,0,30,1,'0271173002720220'
16,0,0,30,1,'02710180'
13,0,0,30,1,'02710520'
